Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"106","'380","Italy","919","'02951.01","Raw hides and skins of cattle","5320","Producing Animals/Slaughtered","1974","1974","Head","4969751.000000","A"
"174","'620","Portugal","252","'2166","Coconut oil","5510","Production","1989","1989","tonnes","3200.000000","T"
"203","'724","Spain","569","'01315","Figs","5419","Yield","1991","1991","hg/ha","23075.000000","E"
"106","'380","Italy","569","'01315","Figs","5312","Area harvested","2015","2015","ha","2423.000000","A"
"106","'380","Italy","569","'01315","Figs","5419","Yield","1995","1995","hg/ha","34259.000000","E"
"68","'250","France","1723","'F1723","Sugar Crops Primary","5312","Area harvested","1974","1974","ha","534200.000000","E"
"203","'724","Spain","773","'26190.01","Flax, processed but not spun","5312","Area harvested","1969","1969","ha","280.000000","A"
"68","'250","France","401","'01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","5419","Yield","2007","2007","hg/ha","209802.000000","E"
"203","'724","Spain","869","'21512","Cattle fat, unrendered","5320","Producing Animals/Slaughtered","1996","1996","Head","2200080.000000","A"
"174","'620","Portugal","1043","'21521","Pig fat, rendered","5510","Production","1968","1968","tonnes","19110.230000","I"
"79","'276","Germany","1035","'21113.01","Meat of pig with the bone, fresh or chilled","5417","Yield/Carcass Weight","1992","1992","hg/An","879.000000","E"
"106","'380","Italy","108","'01199.90","Cereals n.e.c.","5419","Yield","1982","1982","hg/ha","33206.000000","E"
"203","'724","Spain","1723","'F1723","Sugar Crops Primary","5312","Area harvested","1986","1986","ha","199630.000000","E"
"174","'620","Portugal","1783","'F1783","Eggs Primary","5410","Yield","2010","2010","100mg/An","202732.000000","E"
"68","'250","France","558","'01355.90","Other berries and fruits of the genus vaccinium n.e.c.","5312","Area harvested","1999","1999","ha",,"M"
"174","'620","Portugal","397","'01232","Cucumbers and gherkins","5312","Area harvested","2009","2009","ha","300.000000","E"
"106","'380","Italy","176","'01701","Beans, dry","5510","Production","1985","1985","tonnes","60600.000000","A"
"174","'620","Portugal","1036","'21153","Edible offal of pigs, fresh, chilled or frozen","5510","Production","1995","1995","tonnes","33715.000000","I"
"106","'380","Italy","108","'01199.90","Cereals n.e.c.","5419","Yield","1973","1973","hg/ha","22333.000000","E"
"203","'724","Spain","1096","'02131","Horses","5111","Stocks","1971","1971","Head","282000.000000","A"
"79","'276","Germany","1806","'F1806","Beef and Buffalo Meat","5320","Producing Animals/Slaughtered","1970","1970","Head","7368175.000000","E"
"203","'724","Spain","1841","'F1841","Oilcrops, Cake Equivalent","5510","Production","1981","1981","tonnes","258332.000000","E"
"68","'250","France","900","'22130.02","Whey, dry","5510","Production","2002","2002","tonnes","610510.000000","A"
"68","'250","France","268","'21631.01","Sunflower-seed oil, crude","5510","Production","1995","1995","tonnes","556000.000000","A"
"203","'724","Spain","919","'02951.01","Raw hides and skins of cattle","5510","Production","1990","1990","tonnes","44523.000000","A"
"68","'250","France","149","'01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","5312","Area harvested","1993","1993","ha",,"A"
"106","'380","Italy","122","'01530","Sweet potatoes","5419","Yield","2014","2014","hg/ha","214792.000000","E"
"203","'724","Spain","1811","'F1811","Butter and Ghee","5510","Production","1988","1988","tonnes","23933.000000","E"
"174","'620","Portugal","137","'01540","Yams","5419","Yield","1969","1969","hg/ha","80115.000000","I"
"106","'380","Italy","1097","'21118.01","Horse meat, fresh or chilled","5320","Producing Animals/Slaughtered","1973","1973","Head","302000.000000","A"
"203","'724","Spain","122","'01530","Sweet potatoes","5510","Production","1989","1989","tonnes","34312.000000","A"
"106","'380","Italy","521","'01342.01","Pears","5419","Yield","1965","1965","hg/ha","150784.000000","T"
"106","'380","Italy","1089","'21170.01","Meat of pigeons and other birds n.e.c., fresh, chilled or frozen","5510","Production","1997","1997","tonnes","3400.000000","E"
"203","'724","Spain","1057","'02151","Chickens","5112","Stocks","2005","2005","1000 Head","130000.000000","E"
"68","'250","France","401","'01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","5312","Area harvested","1978","1978","ha","1500.000000","A"
"106","'380","Italy","541","'01349.20","Other stone fruits","5510","Production","1994","1994","tonnes","4000.000000","E"
"106","'380","Italy","191","'01703","Chick peas, dry","5419","Yield","2004","2004","hg/ha","11845.000000","E"
"79","'276","Germany","1720","'F1720","Roots and Tubers, Total","5312","Area harvested","1967","1967","ha","1393136.000000","E"
"68","'250","France","867","'21111.01","Meat of cattle with the bone, fresh or chilled","5510","Production","2011","2011","tonnes","1566806.000000","A"
"79","'276","Germany","1181","'02196","Bees","5114","Stocks","1988","1988","No","1818700.000000","E"
"79","'276","Germany","270","'01443","Rape or colza seed","5419","Yield","2015","2015","hg/ha","39026.000000","E"
"174","'620","Portugal","995","'02953","Raw hides and skins of sheep or lambs","5510","Production","1994","1994","tonnes","4813.000000","I"
"79","'276","Germany","403","'01253.02","Onions and shallots, dry (excluding dehydrated)","5419","Yield","2015","2015","hg/ha","441058.000000","E"
"106","'380","Italy","157","'01801","Sugar beet","5510","Production","1990","1990","tonnes","11768400.000000","A"
"174","'620","Portugal","222","'01376","Walnuts, in shell","5312","Area harvested","1982","1982","ha","3173.000000","A"
"68","'250","France","372","'01214","Lettuce and chicory","5312","Area harvested","2018","2018","ha","18820.000000","A"
"106","'380","Italy","1729","'F1729","Treenuts, Total","5510","Production","1966","1966","tonnes","476163.000000","E"
"203","'724","Spain","723","'01699","Other stimulant, spice and aromatic crops, n.e.c.","5510","Production","1983","1983","tonnes","2410.000000","T"
"68","'250","France","414","'01241.90","Other beans, green","5312","Area harvested","1996","1996","ha","9718.000000","A"
"203","'724","Spain","75","'0117","Oats","5510","Production","2012","2012","tonnes","683500.000000","A"
"174","'620","Portugal","388","'01234","Tomatoes","5419","Yield","2009","2009","hg/ha","802052.000000","E"
"174","'620","Portugal","531","'01344.02","Cherries","5419","Yield","1968","1968","hg/ha","74315.000000","E"
"174","'620","Portugal","560","'01330","Grapes","5312","Area harvested","1995","1995","ha","241964.000000","A"
"174","'620","Portugal","558","'01355.90","Other berries and fruits of the genus vaccinium n.e.c.","5510","Production","2007","2007","tonnes","131.000000","I"
"68","'250","France","187","'01705","Peas, dry","5510","Production","1968","1968","tonnes","13910.000000","A"
"68","'250","France","402","'01253.01","Onions and shallots, green","5419","Yield","2000","2000","hg/ha","187648.000000","E"
"106","'380","Italy","946","'02112","Buffalo","5111","Stocks","1977","1977","Head","75700.000000","A"
"68","'250","France","372","'01214","Lettuce and chicory","5312","Area harvested","1994","1994","ha","20383.000000","A"
"68","'250","France","1080","'21124","Meat of turkeys, fresh or chilled","5321","Producing Animals/Slaughtered","2001","2001","1000 Head","120399.000000","A"
"174","'620","Portugal","210","'01709.02","Lupins","5419","Yield","1983","1983","hg/ha","4461.000000","I"
"68","'250","France","162","'2351f","Raw cane or beet sugar (centrifugal only)","5510","Production","1997","1997","tonnes","5134000.000000","A"
"68","'250","France","406","'01252","Green garlic","5510","Production","1992","1992","tonnes","47406.000000","A"
"106","'380","Italy","393","'01213","Cauliflowers and broccoli","5312","Area harvested","2002","2002","ha","24229.000000","A"
"203","'724","Spain","1035","'21113.01","Meat of pig with the bone, fresh or chilled","5320","Producing Animals/Slaughtered","1975","1975","Head","8031000.000000","A"
"68","'250","France","397","'01232","Cucumbers and gherkins","5419","Yield","2010","2010","hg/ha","766529.000000","E"
"174","'620","Portugal","530","'01344.01","Sour cherries","5312","Area harvested","1990","1990","ha","471.000000","A"
"106","'380","Italy","366","'01216","Artichokes","5419","Yield","2019","2019","hg/ha","96098.000000","E"
"106","'380","Italy","1726","'F1726","Pulses, Total","5419","Yield","1982","1982","hg/ha","12780.000000","E"
"106","'380","Italy","1783","'F1783","Eggs Primary","5510","Production","1990","1990","tonnes","655900.000000","E"
"106","'380","Italy","1783","'F1783","Eggs Primary","5410","Yield","1982","1982","100mg/An","143934.000000","E"
"106","'380","Italy","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","5510","Production","1997","1997","tonnes",,"M"
"79","'276","Germany","97","'01191","Triticale","5312","Area harvested","1996","1996","ha","364224.000000","A"
"174","'620","Portugal","44","'0115","Barley","5419","Yield","1965","1965","hg/ha","5735.000000","E"
"68","'250","France","83","'0114","Sorghum","5312","Area harvested","2012","2012","ha","42192.000000","A"
"203","'724","Spain","982","'02291","Raw milk of sheep","5510","Production","1995","1995","tonnes","233000.000000","A"
"79","'276","Germany","1017","'21116","Meat of goat, fresh or chilled","5417","Yield/Carcass Weight","1961","1961","hg/An","80.000000","E"
"203","'724","Spain","1091","'0232","Eggs from other birds in shell, fresh, n.e.c.","5313","Laying","1994","1994","1000 Head","246.000000","A"
"68","'250","France","897","'22211","Whole milk powder","5510","Production","2017","2017","tonnes","179125.000000","I"
"106","'380","Italy","399","'01233","Eggplants (aubergines)","5419","Yield","1982","1982","hg/ha","246516.000000","E"
"79","'276","Germany","1098","'21159.01","Edible offals of horses and other equines,  fresh, chilled or frozen","5320","Producing Animals/Slaughtered","2000","2000","Head","16456.000000","A"
"68","'250","France","267","'01445","Sunflower seed","5312","Area harvested","2015","2015","ha","618777.000000","A"
"106","'380","Italy","328","'01921.01","Seed cotton, unginned","5312","Area harvested","2009","2009","ha",,"M"
"174","'620","Portugal","515","'01341","Apples","5419","Yield","1998","1998","hg/ha","69311.000000","E"
"203","'724","Spain","388","'01234","Tomatoes","5510","Production","1981","1981","tonnes","2158900.000000","A"
"174","'620","Portugal","894","'22221.01","Whole milk, evaporated","5510","Production","1977","1977","tonnes","2653.000000","A"
"106","'380","Italy","1141","'21114","Meat of rabbits and hares, fresh or chilled","5424","Yield/Carcass Weight","2019","2019","0.1g/An","16079.000000","E"
"174","'620","Portugal","333","'01441","Linseed","5510","Production","1973","1973","tonnes","77.000000","A"
"174","'620","Portugal","547","'01353.01","Raspberries","5510","Production","2004","2004","tonnes","700.000000","I"
"174","'620","Portugal","495","'01324","Tangerines, mandarins, clementines","5419","Yield","1982","1982","hg/ha","56250.000000","I"
"203","'724","Spain","560","'01330","Grapes","5312","Area harvested","2016","2016","ha","935105.000000","A"
"203","'724","Spain","1062","'0231","Hen eggs in shell, fresh","5410","Yield","2014","2014","100mg/An","169280.000000","E"
"106","'380","Italy","919","'02951.01","Raw hides and skins of cattle","5510","Production","1974","1974","tonnes","139400.000000","A"
"106","'380","Italy","157","'01801","Sugar beet","5510","Production","1999","1999","tonnes","14505400.000000","A"
"203","'724","Spain","782","'01922.02","Kenaf, and other textile bast fibres, raw or retted","5312","Area harvested","1997","1997","ha",,"M"
"174","'620","Portugal","157","'01801","Sugar beet","5419","Yield","1963","1963","hg/ha","360000.000000","E"
"68","'250","France","1097","'21118.01","Horse meat, fresh or chilled","5320","Producing Animals/Slaughtered","1994","1994","Head","35800.000000","A"
"106","'380","Italy","373","'01215","Spinach","5312","Area harvested","1985","1985","ha","7223.000000","A"
"203","'724","Spain","1025","'02954","Raw hides and skins of goats or kids","5420","Yield","1995","1995","hg/An","5.000000","E"
"174","'620","Portugal","1098","'21159.01","Edible offals of horses and other equines,  fresh, chilled or frozen","5320","Producing Animals/Slaughtered","2005","2005","Head","1413.000000","A"
"79","'276","Germany","552","'01355.01","Blueberries","5312","Area harvested","1978","1978","ha",,"M"
"106","'380","Italy","1807","'F1807","Sheep and Goat Meat","5510","Production","1976","1976","tonnes","49632.000000","E"
"106","'380","Italy","490","'01323","Oranges","5510","Production","1986","1986","tonnes","2217500.000000","A"
"68","'250","France","1017","'21116","Meat of goat, fresh or chilled","5320","Producing Animals/Slaughtered","2001","2001","Head","1131323.000000","A"
"203","'724","Spain","886","'22241.01","Butter of cow milk","5510","Production","2017","2017","tonnes","49580.000000","A"
"79","'276","Germany","536","'01346","Plums and sloes","5510","Production","2001","2001","tonnes","40900.000000","A"
"106","'380","Italy","333","'01441","Linseed","5419","Yield","1986","1986","hg/ha","7196.000000","E"
"106","'380","Italy","919","'02951.01","Raw hides and skins of cattle","5320","Producing Animals/Slaughtered","1988","1988","Head","4915035.000000","A"
"203","'724","Spain","280","'01446","Safflower seed","5312","Area harvested","1997","1997","ha","188.000000","A"
"174","'620","Portugal","222","'01376","Walnuts, in shell","5510","Production","1974","1974","tonnes","5970.000000","A"
"174","'620","Portugal","1735","'F1735","Vegetables Primary","5510","Production","2001","2001","tonnes","2149883.000000","E"
"203","'724","Spain","1141","'21114","Meat of rabbits and hares, fresh or chilled","5424","Yield/Carcass Weight","1993","1993","0.1g/An","12100.000000","E"
"106","'380","Italy","122","'01530","Sweet potatoes","5312","Area harvested","1962","1962","ha","1735.000000","A"
"203","'724","Spain","564","'24212.02","Wine","5510","Production","1980","1980","tonnes","4240200.000000","A"
"203","'724","Spain","773","'26190.01","Flax, processed but not spun","5419","Yield","1975","1975","hg/ha","19524.000000","E"
"174","'620","Portugal","544","'01354","Strawberries","5419","Yield","2003","2003","hg/ha","13113.000000","E"
"79","'276","Germany","995","'02953","Raw hides and skins of sheep or lambs","5510","Production","1965","1965","tonnes","4700.000000","E"
"174","'620","Portugal","394","'01235","Pumpkins, squash and gourds","5419","Yield","1964","1964","hg/ha","150000.000000","E"
"79","'276","Germany","995","'02953","Raw hides and skins of sheep or lambs","5320","Producing Animals/Slaughtered","1999","1999","Head","2172189.000000","A"
"174","'620","Portugal","44","'0115","Barley","5510","Production","1991","1991","tonnes","124104.000000","A"
"106","'380","Italy","1726","'F1726","Pulses, Total","5419","Yield","1998","1998","hg/ha","15752.000000","E"
"68","'250","France","399","'01233","Eggplants (aubergines)","5312","Area harvested","2019","2019","ha","710.000000","A"
"79","'276","Germany","403","'01253.02","Onions and shallots, dry (excluding dehydrated)","5312","Area harvested","1970","1970","ha","4223.000000","A"
"68","'250","France","507","'01321","Pomelos and grapefruits","5312","Area harvested","2012","2012","ha","353.000000","A"
"68","'250","France","414","'01241.90","Other beans, green","5312","Area harvested","1979","1979","ha","11200.000000","A"
"203","'724","Spain","1020","'02292","Raw milk of goats","5318","Milk Animals","1978","1978","Head",,"M"
"68","'250","France","334","'21691.12","Oil of linseed","5510","Production","2004","2004","tonnes","720.000000","E"
"174","'620","Portugal","531","'01344.02","Cherries","5312","Area harvested","2004","2004","ha","5512.000000","A"
"68","'250","France","358","'01212","Cabbages","5510","Production","2015","2015","tonnes","174441.000000","A"
"174","'620","Portugal","867","'21111.01","Meat of cattle with the bone, fresh or chilled","5417","Yield/Carcass Weight","1983","1983","hg/An","2266.000000","E"
"79","'276","Germany","867","'21111.01","Meat of cattle with the bone, fresh or chilled","5417","Yield/Carcass Weight","1987","1987","hg/An","2689.000000","T"
"106","'380","Italy","521","'01342.01","Pears","5510","Production","1998","1998","tonnes","922661.000000","A"
"106","'380","Italy","329","'0143","Cotton seed","5510","Production","2006","2006","tonnes",,"M"
"79","'276","Germany","866","'02111","Cattle","5111","Stocks","1969","1969","Head","19170192.000000","A"
"203","'724","Spain","1035","'21113.01","Meat of pig with the bone, fresh or chilled","5417","Yield/Carcass Weight","1965","1965","hg/An","900.000000","E"
"106","'380","Italy","495","'01324","Tangerines, mandarins, clementines","5510","Production","1961","1961","tonnes","127500.000000","A"
"79","'276","Germany","526","'01343","Apricots","5419","Yield","1985","1985","hg/ha","20624.000000","I"
"106","'380","Italy","236","'0141","Soya beans","5312","Area harvested","1998","1998","ha","351235.000000","A"
"106","'380","Italy","982","'02291","Raw milk of sheep","5510","Production","1968","1968","tonnes","455014.000000","A"
"106","'380","Italy","495","'01324","Tangerines, mandarins, clementines","5312","Area harvested","1990","1990","ha","30644.000000","A"
"79","'276","Germany","1043","'21521","Pig fat, rendered","5510","Production","2007","2007","tonnes","585000.000000","E"
"203","'724","Spain","406","'01252","Green garlic","5510","Production","2004","2004","tonnes","165425.000000","A"
"68","'250","France","1804","'F1804","Citrus Fruit, Total","5419","Yield","2016","2016","hg/ha","162876.000000","E"
"68","'250","France","426","'01251","Carrots and turnips","5312","Area harvested","1966","1966","ha","21000.000000","A"
"68","'250","France","564","'24212.02","Wine","5510","Production","1989","1989","tonnes","6048400.000000","A"
"174","'620","Portugal","984","'22253","Cheese from milk of sheep, fresh or processed","5510","Production","1981","1981","tonnes","13185.000000","A"
"68","'250","France","1806","'F1806","Beef and Buffalo Meat","5510","Production","2017","2017","tonnes","1432780.000000","E"
"68","'250","France","1723","'F1723","Sugar Crops Primary","5419","Yield","1964","1964","hg/ha","381880.000000","E"
"106","'380","Italy","1720","'F1720","Roots and Tubers, Total","5510","Production","2003","2003","tonnes","1631079.000000","E"
"106","'380","Italy","995","'02953","Raw hides and skins of sheep or lambs","5420","Yield","1988","1988","hg/An","20.000000","I"
"203","'724","Spain","201","'01704","Lentils, dry","5510","Production","2010","2010","tonnes","22715.000000","A"
"174","'620","Portugal","79","'0118","Millet","5312","Area harvested","1963","1963","ha","4350.000000","E"
"203","'724","Spain","1080","'21124","Meat of turkeys, fresh or chilled","5321","Producing Animals/Slaughtered","2001","2001","1000 Head","5500.000000","E"
"203","'724","Spain","399","'01233","Eggplants (aubergines)","5419","Yield","2004","2004","hg/ha","451012.000000","E"
"203","'724","Spain","420","'01243","Broad beans and horse beans, green","5419","Yield","1990","1990","hg/ha","80064.000000","E"
"106","'380","Italy","542","'01349.10","Other pome fruits","5510","Production","2018","2018","tonnes","0.000000","A"
"174","'620","Portugal","1780","'F1780","Milk, Total","5318","Milk Animals","2010","2010","Head","698800.000000","E"
"68","'250","France","897","'22211","Whole milk powder","5510","Production","1997","1997","tonnes","265000.000000","A"
"68","'250","France","56","'0112","Maize (corn)","5419","Yield","1973","1973","hg/ha","56217.000000","E"
"68","'250","France","507","'01321","Pomelos and grapefruits","5312","Area harvested","1967","1967","ha","10.000000","A"
"68","'250","France","826","'01970","Unmanufactured tobacco","5312","Area harvested","1983","1983","ha","14300.000000","A"
"174","'620","Portugal","463","'01290.90","Other vegetables, fresh n.e.c.","5419","Yield","1985","1985","hg/ha","181969.000000","E"
"203","'724","Spain","270","'01443","Rape or colza seed","5419","Yield","1977","1977","hg/ha","17500.000000","T"
"174","'620","Portugal","1780","'F1780","Milk, Total","5420","Yield","1966","1966","hg/An","25092.000000","E"
"203","'724","Spain","531","'01344.02","Cherries","5419","Yield","2020","2020","hg/ha","29586.000000","E"
"106","'380","Italy","221","'01371","Almonds, in shell","5419","Yield","1986","1986","hg/ha","9853.000000","E"
"174","'620","Portugal","619","'01359.90","Other fruits, n.e.c.","5419","Yield","1988","1988","hg/ha","34706.000000","I"
"68","'250","France","677","'01659","Hop cones","5419","Yield","1983","1983","hg/ha","20000.000000","E"
"174","'620","Portugal","137","'01540","Yams","5419","Yield","2002","2002","hg/ha","151691.000000","E"
"203","'724","Spain","1723","'F1723","Sugar Crops Primary","5312","Area harvested","1969","1969","ha","187247.000000","E"
"174","'620","Portugal","406","'01252","Green garlic","5510","Production","1964","1964","tonnes","900.000000","E"
"79","'276","Germany","397","'01232","Cucumbers and gherkins","5312","Area harvested","1991","1991","ha","3132.000000","A"
"79","'276","Germany","103","'01199.02","Mixed grain","5510","Production","1965","1965","tonnes","1811317.000000","A"
"203","'724","Spain","211","'01709.90","Other pulses n.e.c.","5510","Production","1962","1962","tonnes","222326.000000","A"
"68","'250","France","401","'01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","5510","Production","1969","1969","tonnes","12640.000000","A"
"68","'250","France","27","'0113","Rice","5419","Yield","1985","1985","hg/ha","54964.000000","E"
"174","'620","Portugal","157","'01801","Sugar beet","5312","Area harvested","1980","1980","ha","917.000000","A"
"68","'250","France","1783","'F1783","Eggs Primary","5410","Yield","2007","2007","100mg/An","179083.000000","E"
"106","'380","Italy","723","'01699","Other stimulant, spice and aromatic crops, n.e.c.","5510","Production","1963","1963","tonnes","50.000000","E"
"174","'620","Portugal","1804","'F1804","Citrus Fruit, Total","5510","Production","2014","2014","tonnes","304016.000000","E"
"79","'276","Germany","1225","'21523","Tallow","5510","Production","1964","1964","tonnes","65907.120000","E"
"79","'276","Germany","1735","'F1735","Vegetables Primary","5419","Yield","1972","1972","hg/ha","176451.000000","E"
"68","'250","France","211","'01709.90","Other pulses n.e.c.","5312","Area harvested","1993","1993","ha","1561.000000","I"
"203","'724","Spain","547","'01353.01","Raspberries","5510","Production","2010","2010","tonnes","9226.000000","A"
"203","'724","Spain","531","'01344.02","Cherries","5419","Yield","1972","1972","hg/ha","80556.000000","E"
"79","'276","Germany","414","'01241.90","Other beans, green","5510","Production","2013","2013","tonnes","50392.000000","A"
"79","'276","Germany","44","'0115","Barley","5312","Area harvested","1971","1971","ha","2161129.000000","A"
"68","'250","France","225","'01374","Hazelnuts, in shell","5312","Area harvested","1995","1995","ha","1853.000000","A"
"106","'380","Italy","1141","'21114","Meat of rabbits and hares, fresh or chilled","5424","Yield/Carcass Weight","1978","1978","0.1g/An","14995.000000","I"
"174","'620","Portugal","882","'02211","Raw milk of cattle","5420","Yield","2008","2008","hg/An","76290.000000","E"
"68","'250","France","534","'01345","Peaches and nectarines","5510","Production","2003","2003","tonnes","331434.000000","A"
"68","'250","France","1717","'F1717","Cereals, Total","5510","Production","1961","1961","tonnes","20802475.000000","E"
"203","'724","Spain","236","'0141","Soya beans","5312","Area harvested","2018","2018","ha","1480.000000","A"
"106","'380","Italy","572","'01311","Avocados","5312","Area harvested","2018","2018","ha","0.000000","A"
"68","'250","France","869","'21512","Cattle fat, unrendered","5320","Producing Animals/Slaughtered","2018","2018","Head","4625960.000000","A"
"106","'380","Italy","560","'01330","Grapes","5510","Production","1970","1970","tonnes","10724000.000000","A"
"79","'276","Germany","372","'01214","Lettuce and chicory","5312","Area harvested","2019","2019","ha","7740.000000","A"
"106","'380","Italy","1021","'22254","Cheese from milk of goats, fresh or processed","5510","Production","1978","1978","tonnes","5144.000000","I"
"174","'620","Portugal","157","'01801","Sugar beet","5510","Production","2003","2003","tonnes","484149.000000","A"
"79","'276","Germany","889","'22222.01","Whole milk, condensed","5510","Production","2006","2006","tonnes","16600.000000","E"
"68","'250","France","677","'01659","Hop cones","5510","Production","1977","1977","tonnes","1807.000000","A"
"174","'620","Portugal","1738","'F1738","Fruit Primary","5419","Yield","1997","1997","hg/ha","52967.000000","E"
"174","'620","Portugal","56","'0112","Maize (corn)","5312","Area harvested","1990","1990","ha","219412.000000","A"
"174","'620","Portugal","271","'21641.01","Rapeseed or canola oil, crude","5510","Production","2005","2005","tonnes","119.350000","I"
"68","'250","France","222","'01376","Walnuts, in shell","5312","Area harvested","1993","1993","ha","11486.000000","A"
"106","'380","Italy","976","'02122","Sheep","5111","Stocks","1980","1980","Head","9110400.000000","A"
"174","'620","Portugal","977","'21115","Meat of sheep, fresh or chilled","5510","Production","1981","1981","tonnes","19747.000000","A"
"174","'620","Portugal","882","'02211","Raw milk of cattle","5318","Milk Animals","2017","2017","Head","239000.000000","A"
"79","'276","Germany","157","'01801","Sugar beet","5312","Area harvested","1979","1979","ha","647432.000000","A"
"203","'724","Spain","149","'01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","5510","Production","1995","1995","tonnes","8820.000000","A"
"79","'276","Germany","490","'01323","Oranges","5510","Production","2018","2018","tonnes","0.000000","A"
"106","'380","Italy","957","'02951.03","Raw hides and skins of buffaloes","5510","Production","1994","1994","tonnes","66.000000","I"
"68","'250","France","401","'01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","5312","Area harvested","2018","2018","ha","950.000000","A"
"203","'724","Spain","30","'F0030","Rice, paddy (rice milled equivalent)","5510","Production","2009","2009","tonnes","609474.000000","E"
"174","'620","Portugal","401","'01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","5419","Yield","1996","1996","hg/ha","53131.000000","E"
"106","'380","Italy","1020","'02292","Raw milk of goats","5318","Milk Animals","1971","1971","Head","793270.000000","A"
"106","'380","Italy","388","'01234","Tomatoes","5419","Yield","2001","2001","hg/ha","517083.000000","E"
"203","'724","Spain","723","'01699","Other stimulant, spice and aromatic crops, n.e.c.","5312","Area harvested","1974","1974","ha",,"M"
"174","'620","Portugal","101","'01195","Canary seed","5510","Production","2014","2014","tonnes",,"M"
"68","'250","France","1181","'02196","Bees","5114","Stocks","2014","2014","No","767334.000000","A"
"68","'250","France","372","'01214","Lettuce and chicory","5510","Production","1969","1969","tonnes","468900.000000","A"
"174","'620","Portugal","689","'01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","5510","Production","1996","1996","tonnes",,"M"
"174","'620","Portugal","261","'2167","Olive oil","5510","Production","1998","1998","tonnes","33207.000000","A"
"174","'620","Portugal","397","'01232","Cucumbers and gherkins","5510","Production","1990","1990","tonnes","9000.000000","E"
"106","'380","Italy","957","'02951.03","Raw hides and skins of buffaloes","5320","Producing Animals/Slaughtered","1969","1969","Head","3500.000000","E"
"79","'276","Germany","558","'01355.90","Other berries and fruits of the genus vaccinium n.e.c.","5312","Area harvested","1973","1973","ha",,"M"
"79","'276","Germany","60","'21691.02","Oil of maize","5510","Production","1996","1996","tonnes","21000.000000","A"
"174","'620","Portugal","869","'21512","Cattle fat, unrendered","5320","Producing Animals/Slaughtered","2012","2012","Head","408694.000000","A"
"79","'276","Germany","1017","'21116","Meat of goat, fresh or chilled","5510","Production","2018","2018","tonnes","0.000000","A"
"68","'250","France","268","'21631.01","Sunflower-seed oil, crude","5510","Production","2011","2011","tonnes","669637.000000","A"
"68","'250","France","1043","'21521","Pig fat, rendered","5510","Production","1982","1982","tonnes","139000.000000","T"
"68","'250","France","1723","'F1723","Sugar Crops Primary","5419","Yield","1999","1999","hg/ha","745309.000000","E"
"106","'380","Italy","1738","'F1738","Fruit Primary","5312","Area harvested","1999","1999","ha","1414353.000000","E"
"203","'724","Spain","867","'21111.01","Meat of cattle with the bone, fresh or chilled","5510","Production","2004","2004","tonnes","713886.000000","A"
"203","'724","Spain","162","'2351f","Raw cane or beet sugar (centrifugal only)","5510","Production","1961","1961","tonnes","586438.000000","A"
"106","'380","Italy","401","'01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","5312","Area harvested","2002","2002","ha","13757.000000","A"
"106","'380","Italy","1808","'F1808","Meat, Poultry","5510","Production","1983","1983","tonnes","1053650.000000","E"
"203","'724","Spain","191","'01703","Chick peas, dry","5419","Yield","1974","1974","hg/ha","5815.000000","E"
"79","'276","Germany","1809","'F1809","Skim Milk&Buttermilk,Dry","5510","Production","1962","1962","tonnes","130642.000000","E"
"174","'620","Portugal","1735","'F1735","Vegetables Primary","5510","Production","1985","1985","tonnes","1968528.000000","E"
"79","'276","Germany","977","'21115","Meat of sheep, fresh or chilled","5320","Producing Animals/Slaughtered","2006","2006","Head","2187785.000000","A"
"174","'620","Portugal","406","'01252","Green garlic","5419","Yield","1961","1961","hg/ha","60000.000000","E"
"68","'250","France","568","'01229","Cantaloupes and other melons","5312","Area harvested","2019","2019","ha","13120.000000","A"
"106","'380","Italy","221","'01371","Almonds, in shell","5510","Production","1984","1984","tonnes","100500.000000","A"
"203","'724","Spain","486","'01312","Bananas","5510","Production","1988","1988","tonnes","395000.000000","A"
"203","'724","Spain","572","'01311","Avocados","5312","Area harvested","1983","1983","ha","2500.000000","E"
"203","'724","Spain","748","'01930.01","Peppermint, spearmint","5312","Area harvested","2009","2009","ha","19.000000","E"
"79","'276","Germany","549","'01351.02","Gooseberries","5419","Yield","2009","2009","hg/ha","67701.000000","E"
"174","'620","Portugal","137","'01540","Yams","5419","Yield","1991","1991","hg/ha","77020.000000","E"
"203","'724","Spain","414","'01241.90","Other beans, green","5312","Area harvested","1982","1982","ha","25600.000000","A"
"79","'276","Germany","211","'01709.90","Other pulses n.e.c.","5419","Yield","2013","2013","hg/ha","47583.000000","E"
